"player.name","team.name","minutos_totales"
"Kylian Mbappé Lottin","France",92
"Adrien Rabiot","France",61
"Mikel Merino Zazón","Spain",203
"Leroy Sané","Germany",45
"Ayoze Pérez Gutiérrez","Spain",17
"Antonio Rüdiger","Germany",126
"Kyle Walker","England",93
"John Stones","England",91
"José Luis Sanmartín Mato","Spain",91
"Iván Balliu Campeny","Albania",86
"Luke Shaw","England",93
"Jordan Pickford","England",94
"Álvaro Borja Morata Martín","Spain",451
"Emre Can","Germany",45
"Olivier Giroud","France",17
"Mike Maignan","France",95
"Ivan Toney","England",4
"Declan Rice","England",94
"N'Golo Kanté","France",61
"David Raya Martin","Spain",94
"Aymeric Laporte","Spain",548
"Phil Foden","England",88
"Jules Koundé","France",95
"Ollie Watkins","England",30
"José Ignacio Fernández Iglesias","Spain",280
"Mateo Kovačić","Croatia",63
"Andrej Kramarić","Croatia",70
"Luka Modrić","Croatia",64
"Marcelo Brozović","Croatia",94
"Ivan Perišić","Croatia",40
"Ousmane Dembélé","France",78
"Antoine Griezmann","France",32
"Thomas Müller","Germany",47
"Manuel Neuer","Germany",126
"Toni Kroos","Germany",126
"Joshua Kimmich","Germany",126
"Daniel Carvajal Ramos","Spain",484
"Fabián Ruiz Peña","Spain",548
"Mikel Oyarzabal Ugarte","Spain",217
"Theo Bernard François Hernández","France",95
"Ferrán Torres García","Spain",160
"Rodrigo Hernández Cascante","Spain",537
"Jesús Navas González","Spain",161
"Lorenzo Pellegrini","Italy",79
"Bryan Cristante","Italy",51
"Jorge Luiz Frello Filho","Italy",45
"Gianluigi Donnarumma","Italy",95
"Berat Djimsiti","Albania",93
"Federico Chiesa","Italy",63
"Alessandro Bastoni","Italy",96
"Qazim Laçi","Albania",69
"Lasha Dvali","Georgia",92
"Bruno Petković","Croatia",23
"Thomas Strakosha","Albania",93
"Guram Kashia","Georgia",92
"Nicolò Barella","Italy",96
"Jonathan Tah","Germany",79
"Arlind Afrim Ajeti","Albania",87
"Dayotchanculle Upamecano","France",95
"Waldemar Anton","Germany",36
"Niclas Füllkrug","Germany",68
"Ante Budimir","Croatia",55
"Marin Pongracic","Croatia",95
"Mattia Zaccagni","Italy",32
"Kai Havertz","Germany",90
"Robert Andrich","Germany",80
"İlkay Gündoğan","Germany",54
"Alejandro Grimaldo García","Spain",121
"Aurélien Djani Tchouaméni","France",95
"Harry Kane","England",58
"Gianluca Scamacca","Italy",60
"Otar Kiteishvili","Georgia",40
"Giovanni Di Lorenzo","Italy",96
"Mario Pašalić","Croatia",30
"Unai Simón Mendibil","Spain",577
"David Raum","Germany",56
"Federico Dimarco","Italy",94
"Maximilian Mittelstädt","Germany",69
"Dominik Livaković","Croatia",93
"Daniel Olmo Carvajal","Spain",442
"William Saliba","France",95
"Marc Cucurella Saseta","Spain",566
"Bukayo Saka","England",94
"Randal Kolo Muani","France",61
"Robin Aime Robert Le Normand","Spain",458
"Heorhii Tsitaishvili","Georgia",30
"Giorgi Chakvetadze","Georgia",60
"Rey Manaj","Albania",58
"Nico Schlotterbeck","Germany",35
"Ylber Ramadani","Albania",94
"Eduardo Camavinga","France",32
"Martín Zubimendi Ibáñez","Spain",154
"Otar Kakabadze","Georgia",92
"Giacomo Raspadori","Italy",14
"Lovro Majer","Croatia",94
"Pedro González López","Spain",185
"Jude Bellingham","England",94
"Davide Frattesi","Italy",45
"Mateo Retegui","Italy",33
"Nedim Bajrami","Albania",69
"Joško Gvardiol","Croatia",92
"Georges Mikautadze","Georgia",78
"Marc Guehi","England",94
"Armando Broja","Albania",35
"Josip Šutalo","Croatia",95
"Khvicha Kvaratskhelia","Georgia",89
"Bradley Barcola","France",32
"Cole Palmer","England",24
"Luka Sučić","Croatia",28
"Jamal Musiala","Germany",126
"Florian Wirtz","Germany",81
"Alejandro Baena Rodríguez","Spain",35
"Jasir Asani","Albania",79
"Giorgi Kochorashvili","Georgia",93
"Daniel Vivian Moreno","Spain",131
"Riccardo Calafiori","Italy",94
"Zuriko Davitashvili","Georgia",30
"Nika Kvekveskiri","Georgia",14
"Luka Lochoshvili","Georgia",62
"Mario Mitaj","Albania",94
"Josip Stanišić","Croatia",95
"Andrea Cambiaso","Italy",48
"Kristjan Asllani","Albania",94
"Nicholas Williams Arthuer","Spain",498
"Ernest Muçi","Albania",12
"Kobbie Mainoo","England",69
"Giorgi Mamardashvili","Georgia",92
"Budu Zivzivadze","Georgia",12
"Deniz Undav","Germany",14
"Arbër Hoxha","Albania",24
"Sandro Altunashvili","Georgia",52
"Medon Berisha","Albania",24
"Fermin Lopez Marin","Spain",33
"Lamine Yamal Nasraoui Ebana","Spain",509
"Giorgi Gvelesiani","Georgia",77
