"minute","second","possession","under_pressure","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","dribble.nutmeg","dribble.no_touch","dribble.outcome.id","dribble.outcome.name","match_id","dribble.overrun","location_x","location_y"
1,48,3,TRUE,772,"Spain",4,"From Throw In",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,NA,8,"Complete",3930160,NA,"84.4","3.4"
8,43,14,TRUE,785,"Croatia",1,"Regular Play",785,"Croatia",37148,"Josip Šutalo",3,"Right Center Back",NA,NA,8,"Complete",3930160,NA,"10.4","65.6"
18,27,31,TRUE,772,"Spain",4,"From Throw In",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",TRUE,NA,9,"Incomplete",3930160,NA,"70.6","77.4"
24,54,42,TRUE,772,"Spain",3,"From Free Kick",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,NA,9,"Incomplete",3930160,NA,"77.9","0.7"
31,23,54,TRUE,772,"Spain",4,"From Throw In",772,"Spain",6655,"Fabián Ruiz Peña",11,"Left Defensive Midfield",NA,NA,8,"Complete",3930160,NA,"100.5","40.3"
32,50,56,TRUE,785,"Croatia",9,"From Kick Off",785,"Croatia",33018,"Joško Gvardiol",6,"Left Back",NA,NA,8,"Complete",3930160,NA,"98.3","25.1"
46,56,85,TRUE,785,"Croatia",4,"From Throw In",785,"Croatia",37148,"Josip Šutalo",3,"Right Center Back",NA,NA,8,"Complete",3930160,NA,"47.7","12"
47,8,86,TRUE,772,"Spain",1,"Regular Play",772,"Spain",6655,"Fabián Ruiz Peña",11,"Left Defensive Midfield",NA,NA,9,"Incomplete",3930160,NA,"103","17.1"
48,53,92,TRUE,772,"Spain",1,"Regular Play",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,TRUE,9,"Incomplete",3930160,NA,"55.5","2.2"
51,22,100,TRUE,785,"Croatia",1,"Regular Play",785,"Croatia",5456,"Mateo Kovačić",15,"Left Center Midfield",NA,NA,8,"Complete",3930160,NA,"77.4","34.2"
55,34,107,TRUE,772,"Spain",7,"From Goal Kick",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,NA,8,"Complete",3930160,NA,"68.5","7.3"
56,1,107,TRUE,772,"Spain",7,"From Goal Kick",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",NA,NA,8,"Complete",3930160,NA,"73.6","78.8"
57,30,108,TRUE,772,"Spain",3,"From Free Kick",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,NA,9,"Incomplete",3930160,NA,"84.4","2.7"
63,6,118,TRUE,785,"Croatia",4,"From Throw In",785,"Croatia",5474,"Ivan Perišić",21,"Left Wing",NA,NA,8,"Complete",3930160,NA,"112.1","15.4"
63,47,119,TRUE,772,"Spain",1,"Regular Play",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",NA,NA,8,"Complete",3930160,NA,"91.4","57.5"
65,52,122,TRUE,785,"Croatia",1,"Regular Play",772,"Spain",16532,"Daniel Olmo Carvajal",19,"Center Attacking Midfield",TRUE,NA,8,"Complete",3930160,NA,"24.3","57.2"
68,33,129,TRUE,772,"Spain",4,"From Throw In",772,"Spain",16532,"Daniel Olmo Carvajal",21,"Left Wing",NA,NA,8,"Complete",3930160,NA,"98.7","8.4"
68,35,129,TRUE,772,"Spain",4,"From Throw In",772,"Spain",16532,"Daniel Olmo Carvajal",21,"Left Wing",TRUE,NA,9,"Incomplete",3930160,NA,"99.2","15.7"
83,14,154,TRUE,785,"Croatia",4,"From Throw In",772,"Spain",5202,"José Ignacio Fernández Iglesias",5,"Left Center Back",NA,NA,8,"Complete",3930160,NA,"44.5","43.5"
87,38,158,TRUE,785,"Croatia",1,"Regular Play",785,"Croatia",7693,"Bruno Petković",23,"Center Forward",NA,NA,9,"Incomplete",3930160,NA,"84.5","47.2"
91,34,162,TRUE,785,"Croatia",3,"From Free Kick",785,"Croatia",49337,"Josip Stanišić",2,"Right Back",NA,NA,8,"Complete",3930160,NA,"85.8","73"
1,39,5,TRUE,768,"England",1,"Regular Play",768,"England",3382,"Luke Shaw",6,"Left Back",TRUE,NA,9,"Incomplete",3943043,NA,"51.1","2.4"
7,15,13,TRUE,768,"England",1,"Regular Play",768,"England",3943,"Declan Rice",11,"Left Defensive Midfield",NA,NA,8,"Complete",3943043,NA,"7.5","56.7"
16,54,27,TRUE,768,"England",2,"From Corner",768,"England",4354,"Phil Foden",19,"Center Attacking Midfield",NA,NA,9,"Incomplete",3943043,TRUE,"99.5","46.5"
19,29,32,TRUE,772,"Spain",4,"From Throw In",768,"England",3943,"Declan Rice",11,"Left Defensive Midfield",NA,NA,9,"Incomplete",3943043,NA,"56.2","38.7"
24,15,40,TRUE,768,"England",3,"From Free Kick",768,"England",3382,"Luke Shaw",6,"Left Back",NA,NA,8,"Complete",3943043,NA,"104.3","20"
