"minute","second","possession","under_pressure","out","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","clearance.left_foot","clearance.right_foot","clearance.head","clearance.aerial_won","clearance.body_part.id","clearance.body_part.name","match_id","location_x","location_y"
0,23,3,TRUE,NA,772,"Spain",4,"From Throw In",772,"Spain",22128,"Robin Aime Robert Le Normand",3,"Right Center Back",TRUE,NA,NA,NA,38,"Left Foot",3930160,"28.5","51"
5,12,7,TRUE,NA,772,"Spain",1,"Regular Play",785,"Croatia",8773,"Marin Pongracic",5,"Left Center Back",NA,TRUE,NA,NA,40,"Right Foot",3930160,"9.6","34.7"
17,20,29,TRUE,TRUE,785,"Croatia",3,"From Free Kick",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward",NA,NA,TRUE,NA,37,"Head",3930160,"8.8","23.1"
26,46,48,TRUE,NA,785,"Croatia",1,"Regular Play",772,"Spain",5721,"Daniel Carvajal Ramos",2,"Right Back",NA,NA,TRUE,TRUE,37,"Head",3930160,"63","54.1"
27,58,48,TRUE,NA,785,"Croatia",1,"Regular Play",772,"Spain",5202,"José Ignacio Fernández Iglesias",5,"Left Center Back",NA,NA,TRUE,TRUE,37,"Head",3930160,"39.4","42.3"
32,54,56,TRUE,NA,785,"Croatia",9,"From Kick Off",772,"Spain",5202,"José Ignacio Fernández Iglesias",5,"Left Center Back",NA,TRUE,NA,NA,40,"Right Foot",3930160,"12.7","41.4"
45,23,77,TRUE,NA,785,"Croatia",1,"Regular Play",772,"Spain",5202,"José Ignacio Fernández Iglesias",5,"Left Center Back",NA,NA,TRUE,TRUE,37,"Head",3930160,"11.8","34.7"
46,11,78,TRUE,NA,772,"Spain",7,"From Goal Kick",785,"Croatia",8773,"Marin Pongracic",5,"Left Center Back",NA,NA,TRUE,NA,37,"Head",3930160,"41.6","16"
46,23,78,TRUE,TRUE,772,"Spain",7,"From Goal Kick",785,"Croatia",8773,"Marin Pongracic",5,"Left Center Back",NA,TRUE,NA,NA,40,"Right Foot",3930160,"5.3","35.6"
61,34,114,TRUE,NA,772,"Spain",1,"Regular Play",785,"Croatia",37148,"Josip Šutalo",3,"Right Center Back",NA,TRUE,NA,NA,40,"Right Foot",3930160,"48.6","63.8"
62,50,117,TRUE,TRUE,785,"Croatia",1,"Regular Play",772,"Spain",5202,"José Ignacio Fernández Iglesias",5,"Left Center Back",NA,TRUE,NA,NA,40,"Right Foot",3930160,"9.1","32.5"
63,3,118,TRUE,NA,785,"Croatia",4,"From Throw In",772,"Spain",5721,"Daniel Carvajal Ramos",2,"Right Back",NA,NA,TRUE,NA,37,"Head",3930160,"2.7","46.1"
63,23,118,TRUE,NA,785,"Croatia",4,"From Throw In",772,"Spain",22128,"Robin Aime Robert Le Normand",3,"Right Center Back",NA,TRUE,NA,NA,40,"Right Foot",3930160,"9.3","48.8"
81,10,148,TRUE,NA,772,"Spain",3,"From Free Kick",785,"Croatia",49337,"Josip Stanišić",2,"Right Back",NA,NA,TRUE,TRUE,37,"Head",3930160,"44.1","77.8"
88,34,160,TRUE,NA,772,"Spain",2,"From Corner",785,"Croatia",5474,"Ivan Perišić",21,"Left Wing",NA,NA,TRUE,NA,37,"Head",3930160,"8.6","32.2"
92,27,163,TRUE,NA,772,"Spain",7,"From Goal Kick",785,"Croatia",49337,"Josip Stanišić",2,"Right Back",NA,NA,TRUE,TRUE,37,"Head",3930160,"45.9","73.2"
3,20,8,TRUE,NA,768,"England",1,"Regular Play",772,"Spain",4353,"Aymeric Laporte",5,"Left Center Back",NA,NA,TRUE,TRUE,37,"Head",3943043,"61.6","26.5"
4,12,9,TRUE,NA,772,"Spain",1,"Regular Play",768,"England",3244,"John Stones",3,"Right Center Back",NA,NA,TRUE,TRUE,37,"Head",3943043,"8.5","40.8"
