"minute","second","possession","duration","under_pressure","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","shot.statsbomb_xg","shot.saved_off_target","shot.aerial_won","shot.one_on_one","shot.deflected","shot.first_time","shot.redirect","shot.technique.id","shot.technique.name","shot.body_part.id","shot.body_part.name","shot.type.id","shot.type.name","shot.outcome.id","shot.outcome.name","match_id","location_x","location_y"
6,23,9,"0.791663",NA,772,"Spain",1,"Regular Play",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward","0.05367552",NA,NA,NA,NA,NA,NA,91,"Half Volley",38,"Left Foot",87,"Open Play",100,"Saved",3930160,"98.8","47.5"
14,12,24,"1.378984",TRUE,772,"Spain",1,"Regular Play",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing","0.04807823",TRUE,NA,NA,NA,NA,NA,93,"Normal",38,"Left Foot",87,"Open Play",115,"Saved Off Target",3930160,"106.5","49.9"
21,49,37,"1.214879",TRUE,785,"Croatia",1,"Regular Play",785,"Croatia",8654,"Ante Budimir",23,"Center Forward","0.048898492",NA,TRUE,NA,NA,NA,NA,93,"Normal",37,"Head",87,"Open Play",98,"Off T",3930160,"107.7","39.3"
28,8,49,"0.658413",TRUE,772,"Spain",1,"Regular Play",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward","0.4253404",NA,NA,TRUE,NA,NA,NA,93,"Normal",38,"Left Foot",87,"Open Play",97,"Goal",3930160,"104.1","39.9"
29,53,50,"0.687622",TRUE,785,"Croatia",9,"From Kick Off",785,"Croatia",5456,"Mateo Kovačić",15,"Left Center Midfield","0.06378076",NA,NA,NA,NA,NA,NA,93,"Normal",38,"Left Foot",87,"Open Play",100,"Saved",3930160,"102.8","38.7"
31,24,54,"0.05896",NA,772,"Spain",4,"From Throw In",772,"Spain",6655,"Fabián Ruiz Peña",11,"Left Defensive Midfield","0.056130085",NA,NA,NA,TRUE,NA,NA,93,"Normal",38,"Left Foot",87,"Open Play",97,"Goal",3930160,"103.9","38.7"
32,55,56,"0.651014",NA,785,"Croatia",9,"From Kick Off",785,"Croatia",5469,"Marcelo Brozović",10,"Center Defensive Midfield","0.07775181",NA,NA,NA,NA,TRUE,NA,93,"Normal",40,"Right Foot",87,"Open Play",100,"Saved",3930160,"101.8","40.2"
32,57,56,"0.2417",NA,785,"Croatia",9,"From Kick Off",785,"Croatia",28914,"Lovro Majer",17,"Right Wing","0.10645112",NA,NA,NA,NA,TRUE,NA,93,"Normal",40,"Right Foot",87,"Open Play",98,"Off T",3930160,"116.5","50.1"
35,11,61,"0.058333",TRUE,772,"Spain",2,"From Corner",772,"Spain",22128,"Robin Aime Robert Le Normand",3,"Right Center Back","0.108392105",NA,TRUE,NA,NA,NA,NA,93,"Normal",37,"Head",87,"Open Play",96,"Blocked",3930160,"114.2","35.6"
40,49,69,"0.988317",NA,785,"Croatia",3,"From Free Kick",785,"Croatia",33018,"Joško Gvardiol",6,"Left Back","0.05044837",NA,NA,NA,NA,TRUE,NA,91,"Half Volley",38,"Left Foot",87,"Open Play",98,"Off T",3930160,"114","27.5"
